,index,0,1,2,3,4,5,6,7
100,100,          0.00,        106.50,        106.50,        106.50,          0.00,          0.00,          0.00,        106.50
101,101,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,        200.00,          0.00
102,102,          0.00,       6121.08,       6121.08,       6121.08,          0.00,          0.00,          0.00,       2821.08
103,103,          0.00,        173.67,        173.67,        173.67,          0.00,          0.00,        226.33,          0.00
104,104,          0.00,      23392.08,      23392.08,      23392.08,          0.00,          0.00,          0.00,      10592.08
105,105,          0.00,      43930.59,      43930.59,      43930.59,          0.00,          0.00,       8469.41,          0.00
106,106,          0.00,      15928.72,      15928.72,      15928.72,          0.00,          0.00,          0.00,       5428.72
107,107,          0.00,       1484.64,       1484.64,       1484.64,          0.00,          0.00,        515.36,          0.00
108,108,       1474.16,       3569.25,       5043.41,       4628.76,        414.65,          0.00,         30.75,          0.00
109,109,         92.49,        537.83,        630.32,        317.02,        313.30,          0.00,          0.00,        137.83
110,110,       1677.37,       4294.66,       5972.03,       4972.45,        999.58,          0.00,       2005.34,          0.00
111,111,          0.00,         19.20,         19.20,         19.20,          0.00,          0.00,          0.00,         19.20
112,112,          0.00,       4332.03,       4332.03,       2767.10,       1564.93,          0.00,          0.00,       2332.03
113,113,          0.00,       3715.51,       3715.51,       3715.51,          0.00,          0.00,          0.00,       1715.51
114,114,         20.08,          0.00,         20.08,         20.08,          0.00,          0.00,        100.00,          0.00
115,115,          0.00,         22.69,         22.69,         22.69,          0.00,          0.00,          0.00,         22.69
116,116,          0.00,         85.50,         85.50,         85.50,          0.00,          0.00,          0.00,         85.50
117,117,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,       1400.00,          0.00
118,118,          0.00,          9.88,          9.88,          9.88,          0.00,          0.00,        390.12,          0.00
119,119,          0.00,         41.80,         41.80,         41.80,          0.00,          0.00,          0.00,         41.80
120,120,          0.00,        630.69,        630.69,        630.69,          0.00,          0.00,        169.31,          0.00
121,121,          0.00,       1298.27,       1298.27,       1194.17,        104.10,          0.00,          0.00,       1298.27
122,122,          0.00,      24249.48,      24249.48,      24249.48,          0.00,          0.00,         50.52,          0.00
123,123,        438.70,        416.11,        854.81,        854.81,          0.00,          0.00,         83.89,          0.00
124,124,          0.00,         65.00,         65.00,         65.00,          0.00,          0.00,          0.00,         65.00
125,125,       5008.45,      10190.80,      15199.25,      13894.29,       1304.96,          0.00,       1909.20,          0.00
126,126,          0.00,      22848.11,      22848.11,      22848.11,          0.00,          0.00,          0.00,        148.11
127,127,          0.00,       2417.10,       2417.10,       2417.10,          0.00,          0.00,       1582.90,          0.00
128,128,      11647.69,      16566.39,      28214.08,      26211.74,       2002.34,          0.00,          0.00,       4566.39
129,129,          0.00,        980.65,        980.65,        980.65,          0.00,          0.00,          0.00,        980.65
130,130,         22.82,        181.74,        204.56,        204.56,          0.00,          0.00,          0.00,         81.74
131,131,       1006.30,       3592.22,       4598.52,       3656.99,        941.53,          0.00,          0.00,       1492.22
132,132,          0.00,       1307.12,       1307.12,       1307.12,          0.00,          0.00,          0.00,       1307.12
133,133,          0.00,       1107.42,       1107.42,       1107.42,          0.00,          0.00,          0.00,        607.42
134,134,         47.88,         91.40,        139.28,        139.28,          0.00,          0.00,          0.00,         91.40
135,135,          0.00,        455.00,        455.00,        455.00,          0.00,          0.00,          0.00,        455.00
136,136,          0.00,        170.00,        170.00,        170.00,          0.00,          0.00,        130.00,          0.00
137,137,          0.00,        729.55,        729.55,        729.55,          0.00,          0.00,       5270.45,          0.00
138,138,        598.09,        390.70,        988.79,        926.38,         62.41,          0.00,       1009.30,          0.00
139,139,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,        600.00,          0.00
140,140,          0.00,      40509.00,      40509.00,      40509.00,          0.00,          0.00,     149491.00,          0.00
141,141,          0.00,          0.00,          0.00,          0.00,          0.00,      10000.00,      10000.00,          0.00
142,142,          0.00,      19484.00,      19484.00,      19484.00,          0.00,          0.00,          0.00,        284.00
143,143,          0.00,      17119.56,      17119.56,      17119.56,          0.00,          0.00,          0.00,       4019.56
144,144,        289.45,       1551.97,       1841.42,       1841.42,          0.00,          0.00,          0.00,        351.97
145,145,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,       2500.00,          0.00
146,146,      26066.00,     135902.27,     161968.27,     151893.79,      10074.48,          0.00,          0.00,     135902.27
147,147,          0.00,        184.00,        184.00,        184.00,          0.00,          0.00,          0.00,        184.00
148,148,          0.00,       2520.00,       2520.00,       2520.00,          0.00,          0.00,       5480.00,          0.00
149,149,          0.00,      13200.00,      13200.00,      13200.00,          0.00,          0.00,          0.00,      13200.00
150,150,         90.00,         37.55,        127.55,        127.55,          0.00,          0.00,          0.00,         37.55
151,151,          0.00,         34.87,         34.87,          0.00,         34.87,          0.00,          0.00,         34.87
152,152,          0.00,       2683.96,       2683.96,       2150.41,        533.55,          0.00,       1316.04,          0.00
153,153,          0.00,        362.83,        362.83,        362.83,          0.00,          0.00,          0.00,        362.83
154,154,          0.00,       6708.11,       6708.11,       6708.11,          0.00,          0.00,          0.00,          8.11
155,155,          0.00,       4177.85,       4177.85,       4177.85,          0.00,          0.00,          0.00,        177.85
156,156,          0.00,        119.00,        119.00,        119.00,          0.00,          0.00,          0.00,        119.00
